States/UTs,Driver Fault,Fault of Cyclist,Fault of Pedestrian,Defect in Condition of Motor Vehicle,Defect in Road Condition,Weather Condition,Other Causes
Andhra Pradesh,33222,378,876,504,1339,392,5813
Arunachal Pradesh,79,23,10,24,23,15,77
Assam,6184,85,213,0,0,0,53
Bihar,6225,159,143,368,283,457,2685
Chhattisgarh,9178,158,93,682,316,243,2841
Goa,3954,65,116,6,1,4,166
Gujarat,23980,605,2648,69,32,37,578
Haryana,7890,118,306,146,142,131,1332
Himachal Pradesh,2662,4,15,15,34,0,169
Jammu and Kashmir,4350,6,335,69,28,6,1915
Jharkhand,3374,120,182,266,239,252,1278
Karnataka,36545,259,837,477,241,263,5826
Kerala,36142,7,21,0,0,0,4
Madhya Pradesh,40975,425,847,1112,818,365,6668
Maharashtra,56418,447,1991,442,315,21,6682
Manipur,0,0,0,211,102,18,440
Meghalaya,23,0,22,117,32,37,252
Mizoram,110,0,0,0,0,0,0
Nagaland,5,0,0,6,0,0,31
Odisha,8781,143,90,33,19,10,209
Punjab,3804,125,82,163,92,162,1913
Rajasthan,21939,12,21,28,209,30,730
Sikkim,11,0,0,0,0,16,131
Tamil Nadu,57507,735,1495,107,1072,291,6550
Tripura,705,5,42,20,0,37,79
Uttarakhand,1013,3,9,21,43,0,383
Uttar Pradesh,12759,1803,1313,1482,756,824,11035
West Bengal,6191,179,478,669,660,919,3194
Andaman and Nicobar Is.,236,0,0,0,0,0,0
Chandigarh,419,0,0,0,0,0,0
Dadra and Nagar Haveli,85,0,0,0,0,0,0
Daman and Diu,40,0,0,0,0,0,10
Delhi ,0,0,0,0,0,0,6937
Lakshadweep,3,0,0,0,0,0,0
Puducherry,1125,0,0,0,0,0,56
